date,depot,categorie,produit,quantite,prix_unitaire,montant
2024-03-13,Casablanca,Biscuiterie,Gaufrettes chocolat x48,7,134.0,938.0
2024-03-13,Rabat,Farines,Farine de blé T55 25kg,1,172.0,172.0
2024-03-13,Rabat,Riz & Pâtes,Riz long grain 25kg,9,285.0,2565.0
2024-03-13,Casablanca,Condiments,Olives vertes 5kg,3,110.0,330.0
2024-03-13,Rabat,Thés & Cafés,Café moulu 1kg,6,125.0,750.0
2024-03-13,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,7,160.0,1120.0
2024-03-13,Marrakech,Boissons,Jus d'orange 1L x12,13,105.0,1365.0
2024-03-13,Casablanca,Épicerie sucrée,Miel pur 1kg x6,11,330.0,3630.0
2024-03-13,Rabat,Légumineuses,Pois chiches 1kg x12,13,118.0,1534.0
2024-03-13,Casablanca,Légumineuses,Haricots blancs 1kg x12,94,115.9,10894.6
2024-03-13,Marrakech,Condiments,Olives vertes 5kg,4,110.0,440.0
2024-03-14,Casablanca,Sucres,Sucre en morceaux 5kg,3,47.0,141.0
2024-03-14,Rabat,Légumineuses,Haricots blancs 1kg x12,11,122.0,1342.0
2024-03-14,Rabat,Riz & Pâtes,Riz long grain 25kg,8,285.0,2280.0
2024-03-14,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,37,152.0,5624.0
2024-03-14,Rabat,Farines,Farine de blé T45 10kg,7,75.0,525.0
2024-03-14,Marrakech,Conserves,Sardines à l'huile x50,4,268.0,1072.0
2024-03-14,Rabat,Condiments,Olives vertes 5kg,10,110.0,1100.0
2024-03-14,Rabat,Épicerie sucrée,Miel pur 1kg x6,18,330.0,5940.0
2024-03-14,Rabat,Riz & Pâtes,Couscous moyen 25kg,6,255.0,1530.0
2024-03-14,Rabat,Légumineuses,Lentilles vertes 1kg x12,27,119.7,3231.9
2024-03-14,Rabat,Épicerie sucrée,Confiture abricot 850g x12,27,160.0,4320.0
2024-03-14,Rabat,Boissons,Soda cola 1L x12,5,99.0,495.0
2024-03-14,Rabat,Thés & Cafés,Café moulu 1kg,5,125.0,625.0
2024-03-14,Casablanca,Riz & Pâtes,Riz long grain 25kg,8,285.0,2280.0
2024-03-14,Casablanca,Sucres,Sucre granulé 50kg,25,355.0,8875.0
2024-03-14,Marrakech,Sucres,Sucre granulé 50kg,20,355.0,7100.0
2024-03-14,Rabat,Farines,Farine de blé T55 25kg,4,172.0,688.0
2024-03-14,Marrakech,Thés & Cafés,Café moulu 1kg,13,125.0,1625.0
2024-03-14,Casablanca,Biscuiterie,Chocolat tablette 100g x50,6,220.0,1320.0
2024-03-14,Casablanca,Huiles,Huile de tournesol 5L,4,92.0,368.0
2024-03-14,Marrakech,Légumineuses,Pois chiches 1kg x12,36,112.1,4035.6
2024-03-14,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,15,88.0,1320.0
2024-03-14,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,24,160.0,3840.0
2024-03-14,Rabat,Riz & Pâtes,Pâtes spaghetti 500g x20,4,90.0,360.0
2024-03-14,Rabat,Biscuiterie,Biscuits fourrés x36,1,115.0,115.0
2024-03-14,Rabat,Boissons,Jus d'orange 1L x12,4,105.0,420.0
2024-03-15,Casablanca,Épicerie sucrée,Miel pur 1kg x6,4,330.0,1320.0
2024-03-15,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,12,360.0,4320.0
2024-03-15,Marrakech,Condiments,Vinaigre 1L x12,15,54.0,810.0
2024-03-15,Casablanca,Condiments,Vinaigre 1L x12,24,54.0,1296.0
2024-03-15,Rabat,Conserves,Thon entier à l'huile x24,6,432.0,2592.0
2024-03-15,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,5,360.0,1800.0
2024-03-15,Marrakech,Laitiers,Beurre 200g x40,24,281.2,6748.8
2024-03-15,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,6,160.0,960.0
2024-03-15,Marrakech,Légumineuses,Haricots blancs 1kg x12,14,122.0,1708.0
2024-03-15,Marrakech,Thés & Cafés,Thé vert gunpowder 1kg,5,88.0,440.0
2024-03-15,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),34,25.65,872.1
2024-03-15,Marrakech,Farines,Farine de blé T45 10kg,4,75.0,300.0
2024-03-15,Casablanca,Laitiers,Lait en poudre 2.5kg,3,168.0,504.0
2024-03-15,Marrakech,Laitiers,Beurre 200g x40,8,296.0,2368.0
2024-03-15,Casablanca,Huiles,Huile d'olive extra vierge 1L,7,89.0,623.0
2024-03-15,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),3,27.0,81.0
2024-03-15,Marrakech,Biscuiterie,Chocolat tablette 100g x50,73,220.0,16060.0
2024-03-15,Rabat,Condiments,Sel de table 1kg x24,6,46.0,276.0
2024-03-15,Casablanca,Condiments,Olives vertes 5kg,57,104.5,5956.5
2024-03-15,Casablanca,Biscuiterie,Chocolat tablette 100g x50,10,220.0,2200.0
2024-03-15,Casablanca,Biscuiterie,Chocolat tablette 100g x50,73,209.0,15257.0
2024-03-15,Rabat,Biscuiterie,Chocolat tablette 100g x50,4,220.0,880.0
2024-03-15,Casablanca,Conserves,Thon entier à l'huile x24,2,432.0,864.0
2024-03-15,Casablanca,Farines,Farine de blé T55 25kg,5,172.0,860.0
2024-03-15,Casablanca,Conserves,Tomate concentrée 4.5kg x6,4,240.0,960.0
2024-03-15,Rabat,Biscuiterie,Biscuits fourrés x36,1,115.0,115.0
2024-03-15,Marrakech,Condiments,Épices ras el hanout 500g x10,20,148.0,2960.0
2024-03-15,Casablanca,Sucres,Sucre granulé 50kg,1,355.0,355.0
2024-03-15,Rabat,Thés & Cafés,Café moulu 1kg,3,125.0,375.0
2024-03-15,Marrakech,Conserves,Tomate concentrée 4.5kg x6,19,228.0,4332.0
2024-03-16,Casablanca,Condiments,Sel de table 1kg x24,26,46.0,1196.0
2024-03-16,Rabat,Laitiers,Lait en poudre 2.5kg,5,168.0,840.0
2024-03-16,Casablanca,Laitiers,Lait UHT 1L x12,4,90.0,360.0
2024-03-16,Rabat,Boissons,Jus d'orange 1L x12,10,105.0,1050.0
2024-03-16,Casablanca,Thés & Cafés,Café moulu 1kg,11,125.0,1375.0
2024-03-16,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-03-16,Casablanca,Conserves,Thon entier à l'huile x24,4,432.0,1728.0
2024-03-16,Marrakech,Laitiers,Lait en poudre 2.5kg,5,168.0,840.0
2024-03-16,Casablanca,Laitiers,Lait en poudre 2.5kg,2,168.0,336.0
2024-03-16,Casablanca,Boissons,Jus d'orange 1L x12,11,105.0,1155.0
2024-03-16,Rabat,Conserves,Thon entier à l'huile x24,1,432.0,432.0
2024-03-16,Marrakech,Thés & Cafés,Café moulu 1kg,19,125.0,2375.0
2024-03-16,Casablanca,Biscuiterie,Biscuits fourrés x36,4,115.0,460.0
2024-03-16,Rabat,Conserves,Sardines à l'huile x50,20,254.6,5092.0
2024-03-16,Casablanca,Huiles,Huile de tournesol 5L,2,92.0,184.0
2024-03-16,Marrakech,Épicerie sucrée,Miel pur 1kg x6,55,330.0,18150.0
2024-03-16,Rabat,Légumineuses,Lentilles vertes 1kg x12,12,126.0,1512.0
2024-03-16,Rabat,Laitiers,Lait UHT 1L x12,3,90.0,270.0
2024-03-16,Marrakech,Légumineuses,Pois chiches 1kg x12,3,118.0,354.0
2024-03-16,Casablanca,Sucres,Sucre granulé 50kg,8,355.0,2840.0
2024-03-16,Rabat,Légumineuses,Pois chiches 1kg x12,6,118.0,708.0
2024-03-17,Marrakech,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-03-17,Rabat,Boissons,Soda cola 1L x12,5,99.0,495.0
2024-03-17,Marrakech,Thés & Cafés,Thé vert Chunmee 41022 5kg,6,360.0,2160.0
2024-03-17,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,4,88.0,352.0
2024-03-18,Rabat,Huiles,Huile de tournesol 5L,5,92.0,460.0
2024-03-18,Marrakech,Boissons,Jus d'orange 1L x12,25,105.0,2625.0
2024-03-18,Marrakech,Farines,Farine de blé T55 25kg,3,172.0,516.0
2024-03-18,Marrakech,Laitiers,Lait en poudre 2.5kg,18,159.6,2872.8
2024-03-18,Rabat,Légumineuses,Haricots blancs 1kg x12,51,115.9,5910.9
2024-03-18,Casablanca,Laitiers,Lait UHT 1L x12,68,85.5,5814.0
2024-03-18,Rabat,Condiments,Épices ras el hanout 500g x10,23,140.6,3233.8
2024-03-18,Casablanca,Boissons,Jus d'orange 1L x12,4,105.0,420.0
2024-03-18,Casablanca,Biscuiterie,Gaufrettes chocolat x48,73,127.3,9292.9
2024-03-18,Marrakech,Farines,Farine de blé T55 25kg,32,163.4,5228.8
2024-03-18,Casablanca,Condiments,Sel de table 1kg x24,18,46.0,828.0
2024-03-18,Marrakech,Condiments,Épices ras el hanout 500g x10,27,140.6,3796.2
2024-03-18,Casablanca,Biscuiterie,Gaufrettes chocolat x48,3,134.0,402.0
2024-03-18,Casablanca,Condiments,Épices ras el hanout 500g x10,3,148.0,444.0
2024-03-18,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,4,160.0,640.0
2024-03-18,Rabat,Épicerie sucrée,Confiture abricot 850g x12,7,160.0,1120.0
2024-03-18,Casablanca,Légumineuses,Haricots blancs 1kg x12,79,115.9,9156.1
2024-03-18,Rabat,Farines,Farine de blé T55 25kg,5,172.0,860.0
2024-03-19,Rabat,Condiments,Olives vertes 5kg,5,110.0,550.0
2024-03-19,Casablanca,Condiments,Épices ras el hanout 500g x10,1,148.0,148.0
2024-03-19,Rabat,Condiments,Olives vertes 5kg,1,110.0,110.0
2024-03-19,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),9,27.0,243.0
2024-03-19,Marrakech,Laitiers,Lait UHT 1L x12,12,90.0,1080.0
2024-03-19,Marrakech,Conserves,Tomate concentrée 4.5kg x6,4,240.0,960.0
2024-03-19,Marrakech,Laitiers,Fromage fondu x48,8,158.0,1264.0
2024-03-19,Marrakech,Riz & Pâtes,Pâtes spaghetti 500g x20,12,90.0,1080.0
2024-03-19,Rabat,Thés & Cafés,Café moulu 1kg,2,125.0,250.0
2024-03-19,Rabat,Biscuiterie,Chocolat tablette 100g x50,10,220.0,2200.0
2024-03-20,Rabat,Sucres,Sucre granulé 50kg,29,355.0,10295.0
2024-03-20,Rabat,Épicerie sucrée,Dattes Deglet Nour 5kg,10,245.0,2450.0
2024-03-20,Rabat,Boissons,Eau minérale 1.5L x6 (pack),4,27.0,108.0
2024-03-20,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),8,27.0,216.0
2024-03-20,Rabat,Légumineuses,Pois chiches 1kg x12,6,118.0,708.0
2024-03-20,Rabat,Biscuiterie,Biscuits fourrés x36,22,115.0,2530.0
2024-03-20,Rabat,Farines,Farine de blé T55 25kg,4,172.0,688.0
2024-03-20,Marrakech,Thés & Cafés,Thé vert Chunmee 41022 5kg,13,360.0,4680.0
2024-03-20,Rabat,Huiles,Huile d'olive extra vierge 1L,3,89.0,267.0
2024-03-20,Casablanca,Thés & Cafés,Café moulu 1kg,20,125.0,2500.0
2024-03-20,Casablanca,Riz & Pâtes,Pâtes spaghetti 500g x20,81,85.5,6925.5
2024-03-20,Casablanca,Laitiers,Fromage fondu x48,13,158.0,2054.0
2024-03-20,Casablanca,Biscuiterie,Gaufrettes chocolat x48,72,127.3,9165.6
2024-03-20,Marrakech,Condiments,Vinaigre 1L x12,2,54.0,108.0
2024-03-20,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,4,360.0,1440.0
2024-03-20,Casablanca,Huiles,Huile de tournesol 5L,10,92.0,920.0
2024-03-20,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,9,160.0,1440.0
2024-03-21,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,5,88.0,440.0
2024-03-21,Casablanca,Sucres,Sucre granulé 50kg,2,355.0,710.0
2024-03-21,Casablanca,Biscuiterie,Biscuits fourrés x36,2,115.0,230.0
2024-03-21,Casablanca,Légumineuses,Haricots blancs 1kg x12,7,122.0,854.0
2024-03-21,Marrakech,Laitiers,Lait UHT 1L x12,14,90.0,1260.0
2024-03-21,Rabat,Sucres,Sucre en morceaux 5kg,3,47.0,141.0
2024-03-21,Casablanca,Condiments,Sel de table 1kg x24,18,46.0,828.0
2024-03-21,Rabat,Riz & Pâtes,Pâtes spaghetti 500g x20,1,90.0,90.0
2024-03-21,Casablanca,Laitiers,Fromage fondu x48,33,150.1,4953.3
2024-03-21,Rabat,Huiles,Huile d'olive extra vierge 1L,18,89.0,1602.0
2024-03-22,Rabat,Biscuiterie,Gaufrettes chocolat x48,6,134.0,804.0
2024-03-22,Casablanca,Condiments,Épices ras el hanout 500g x10,3,148.0,444.0
2024-03-22,Rabat,Épicerie sucrée,Miel pur 1kg x6,5,330.0,1650.0
2024-03-22,Casablanca,Sucres,Sucre granulé 50kg,1,355.0,355.0
2024-03-22,Casablanca,Riz & Pâtes,Riz long grain 25kg,76,270.75,20577.0
2024-03-22,Casablanca,Condiments,Sel de table 1kg x24,4,46.0,184.0
2024-03-22,Casablanca,Boissons,Soda cola 1L x12,7,99.0,693.0
2024-03-22,Marrakech,Légumineuses,Haricots blancs 1kg x12,5,122.0,610.0
2024-03-22,Casablanca,Légumineuses,Haricots blancs 1kg x12,9,122.0,1098.0
2024-03-22,Marrakech,Thés & Cafés,Thé vert Chunmee 41022 5kg,6,360.0,2160.0
2024-03-22,Marrakech,Condiments,Olives vertes 5kg,6,110.0,660.0
2024-03-22,Rabat,Conserves,Thon entier à l'huile x24,11,432.0,4752.0
2024-03-22,Casablanca,Huiles,Huile de tournesol 5L,7,92.0,644.0
2024-03-22,Marrakech,Laitiers,Beurre 200g x40,9,296.0,2664.0
2024-03-22,Rabat,Laitiers,Lait en poudre 2.5kg,3,168.0,504.0
2024-03-22,Casablanca,Biscuiterie,Biscuits fourrés x36,1,115.0,115.0
2024-03-22,Casablanca,Conserves,Sardines à l'huile x50,12,268.0,3216.0
2024-03-22,Rabat,Biscuiterie,Biscuits fourrés x36,10,115.0,1150.0
2024-03-22,Rabat,Condiments,Vinaigre 1L x12,3,54.0,162.0
2024-03-22,Rabat,Légumineuses,Pois chiches 1kg x12,18,118.0,2124.0
2024-03-22,Rabat,Légumineuses,Haricots blancs 1kg x12,9,122.0,1098.0
2024-03-22,Casablanca,Laitiers,Lait UHT 1L x12,3,90.0,270.0
2024-03-22,Rabat,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-03-22,Rabat,Laitiers,Lait UHT 1L x12,12,90.0,1080.0
2024-03-23,Rabat,Laitiers,Lait en poudre 2.5kg,5,168.0,840.0
2024-03-23,Marrakech,Boissons,Soda cola 1L x12,3,99.0,297.0
2024-03-23,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-03-23,Rabat,Boissons,Soda cola 1L x12,8,99.0,792.0
2024-03-23,Casablanca,Farines,Farine de blé T55 25kg,4,172.0,688.0
2024-03-23,Rabat,Épicerie sucrée,Miel pur 1kg x6,5,330.0,1650.0
2024-03-23,Rabat,Boissons,Jus d'orange 1L x12,22,99.75,2194.5
2024-03-23,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),6,27.0,162.0
2024-03-23,Marrakech,Laitiers,Fromage fondu x48,14,158.0,2212.0
2024-03-23,Casablanca,Boissons,Eau minérale 1.5L x6 (pack),11,27.0,297.0
2024-03-23,Casablanca,Thés & Cafés,Thé vert Chunmee 41022 5kg,32,360.0,11520.0
2024-03-23,Casablanca,Boissons,Soda cola 1L x12,7,99.0,693.0
2024-03-23,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,17,160.0,2720.0
2024-03-23,Rabat,Sucres,Sucre granulé 50kg,3,355.0,1065.0
2024-03-23,Casablanca,Conserves,Sardines à l'huile x50,8,268.0,2144.0
2024-03-23,Marrakech,Biscuiterie,Gaufrettes chocolat x48,22,127.3,2800.6
2024-03-23,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-03-23,Casablanca,Laitiers,Beurre 200g x40,3,296.0,888.0
2024-03-24,Rabat,Huiles,Huile d'olive extra vierge 1L,3,89.0,267.0
2024-03-24,Marrakech,Laitiers,Lait en poudre 2.5kg,3,168.0,504.0
2024-03-24,Rabat,Boissons,Soda cola 1L x12,13,99.0,1287.0
2024-03-24,Rabat,Laitiers,Fromage fondu x48,4,158.0,632.0
2024-03-24,Marrakech,Riz & Pâtes,Couscous moyen 25kg,2,255.0,510.0
2024-03-25,Rabat,Conserves,Tomate concentrée 4.5kg x6,2,240.0,480.0
2024-03-25,Rabat,Condiments,Sel de table 1kg x24,25,43.7,1092.5
2024-03-25,Marrakech,Légumineuses,Haricots blancs 1kg x12,3,122.0,366.0
2024-03-25,Casablanca,Huiles,Huile de tournesol 5L,3,92.0,276.0
2024-03-25,Casablanca,Thés & Cafés,Café moulu 1kg,3,125.0,375.0
2024-03-25,Rabat,Boissons,Jus d'orange 1L x12,11,105.0,1155.0
2024-03-25,Casablanca,Épicerie sucrée,Miel pur 1kg x6,3,330.0,990.0
2024-03-25,Casablanca,Biscuiterie,Biscuits fourrés x36,85,109.25,9286.25
2024-03-25,Casablanca,Boissons,Soda cola 1L x12,11,99.0,1089.0
2024-03-25,Casablanca,Riz & Pâtes,Pâtes spaghetti 500g x20,68,85.5,5814.0
2024-03-25,Rabat,Condiments,Vinaigre 1L x12,1,54.0,54.0
2024-03-25,Rabat,Biscuiterie,Biscuits fourrés x36,4,115.0,460.0
2024-03-25,Marrakech,Épicerie sucrée,Dattes Deglet Nour 5kg,19,245.0,4655.0
2024-03-25,Rabat,Boissons,Eau minérale 1.5L x6 (pack),20,27.0,540.0
2024-03-25,Casablanca,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-03-25,Casablanca,Thés & Cafés,Café moulu 1kg,12,125.0,1500.0
2024-03-25,Marrakech,Légumineuses,Pois chiches 1kg x12,8,118.0,944.0
2024-03-25,Rabat,Farines,Farine de blé T55 25kg,1,172.0,172.0
2024-03-25,Rabat,Condiments,Épices ras el hanout 500g x10,3,148.0,444.0
2024-03-25,Rabat,Conserves,Tomate concentrée 4.5kg x6,2,240.0,480.0
2024-03-25,Rabat,Farines,Farine de blé T45 10kg,9,75.0,675.0
2024-03-26,Casablanca,Laitiers,Lait en poudre 2.5kg,4,168.0,672.0
2024-03-26,Rabat,Épicerie sucrée,Miel pur 1kg x6,7,330.0,2310.0
2024-03-26,Marrakech,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-03-26,Casablanca,Épicerie sucrée,Miel pur 1kg x6,20,330.0,6600.0
2024-03-26,Casablanca,Laitiers,Beurre 200g x40,9,296.0,2664.0
2024-03-26,Marrakech,Condiments,Olives vertes 5kg,1,110.0,110.0
2024-03-26,Marrakech,Conserves,Thon entier à l'huile x24,14,432.0,6048.0
2024-03-26,Marrakech,Thés & Cafés,Thé vert gunpowder 1kg,1,88.0,88.0
2024-03-26,Casablanca,Conserves,Thon entier à l'huile x24,4,432.0,1728.0
2024-03-26,Casablanca,Biscuiterie,Biscuits fourrés x36,7,115.0,805.0
2024-03-26,Casablanca,Légumineuses,Haricots blancs 1kg x12,22,122.0,2684.0
2024-03-26,Casablanca,Huiles,Huile de tournesol 5L,1,92.0,92.0
2024-03-26,Rabat,Riz & Pâtes,Pâtes spaghetti 500g x20,4,90.0,360.0
2024-03-27,Casablanca,Laitiers,Beurre 200g x40,2,296.0,592.0
2024-03-27,Marrakech,Épicerie sucrée,Confiture abricot 850g x12,141,160.0,22560.0
2024-03-27,Casablanca,Épicerie sucrée,Miel pur 1kg x6,71,313.5,22258.5
2024-03-27,Casablanca,Huiles,Huile d'olive extra vierge 1L,8,89.0,712.0
2024-03-27,Marrakech,Riz & Pâtes,Riz long grain 25kg,23,270.75,6227.25
2024-03-27,Casablanca,Farines,Farine de blé T45 10kg,74,71.25,5272.5
2024-03-27,Casablanca,Laitiers,Lait UHT 1L x12,2,90.0,180.0
2024-03-27,Rabat,Boissons,Eau minérale 1.5L x6 (pack),10,27.0,270.0
2024-03-27,Casablanca,Condiments,Olives vertes 5kg,8,110.0,880.0
2024-03-27,Casablanca,Laitiers,Fromage fondu x48,11,158.0,1738.0
2024-03-27,Rabat,Épicerie sucrée,Confiture abricot 850g x12,4,160.0,640.0
2024-03-27,Rabat,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-03-27,Rabat,Boissons,Jus d'orange 1L x12,5,105.0,525.0
2024-03-27,Rabat,Laitiers,Fromage fondu x48,1,158.0,158.0
2024-03-27,Marrakech,Boissons,Soda cola 1L x12,23,94.05,2163.15
2024-03-27,Casablanca,Sucres,Sucre granulé 50kg,5,355.0,1775.0
2024-03-27,Marrakech,Condiments,Sel de table 1kg x24,70,46.0,3220.0
2024-03-27,Casablanca,Boissons,Soda cola 1L x12,14,99.0,1386.0
2024-03-28,Rabat,Sucres,Sucre granulé 50kg,7,355.0,2485.0
2024-03-28,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,21,88.0,1848.0
2024-03-28,Marrakech,Thés & Cafés,Café moulu 1kg,8,125.0,1000.0
2024-03-28,Marrakech,Thés & Cafés,Thé vert gunpowder 1kg,4,88.0,352.0
2024-03-28,Marrakech,Condiments,Sel de table 1kg x24,20,46.0,920.0
2024-03-28,Marrakech,Biscuiterie,Gaufrettes chocolat x48,4,134.0,536.0
2024-03-28,Casablanca,Condiments,Épices ras el hanout 500g x10,5,148.0,740.0
2024-03-28,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,8,245.0,1960.0
2024-03-28,Marrakech,Thés & Cafés,Café moulu 1kg,11,125.0,1375.0
2024-03-28,Casablanca,Riz & Pâtes,Riz long grain 25kg,14,285.0,3990.0
2024-03-28,Rabat,Conserves,Thon entier à l'huile x24,12,432.0,5184.0
2024-03-28,Marrakech,Condiments,Épices ras el hanout 500g x10,11,148.0,1628.0
2024-03-28,Rabat,Sucres,Sucre granulé 50kg,10,355.0,3550.0
2024-03-28,Casablanca,Biscuiterie,Gaufrettes chocolat x48,5,134.0,670.0
2024-03-28,Marrakech,Farines,Farine de blé T45 10kg,30,75.0,2250.0
2024-03-28,Marrakech,Riz & Pâtes,Couscous moyen 25kg,10,255.0,2550.0
2024-03-28,Casablanca,Conserves,Thon entier à l'huile x24,7,432.0,3024.0
2024-03-28,Marrakech,Biscuiterie,Biscuits fourrés x36,12,115.0,1380.0
2024-03-28,Casablanca,Sucres,Sucre granulé 50kg,7,355.0,2485.0
2024-03-28,Casablanca,Laitiers,Lait UHT 1L x12,5,90.0,450.0
2024-03-28,Rabat,Épicerie sucrée,Confiture abricot 850g x12,11,160.0,1760.0
2024-03-29,Rabat,Huiles,Huile de tournesol 5L,11,92.0,1012.0
2024-03-29,Rabat,Condiments,Vinaigre 1L x12,9,54.0,486.0
2024-03-29,Marrakech,Riz & Pâtes,Pâtes spaghetti 500g x20,2,90.0,180.0
2024-03-29,Casablanca,Laitiers,Lait UHT 1L x12,5,90.0,450.0
2024-03-29,Casablanca,Sucres,Sucre en morceaux 5kg,2,47.0,94.0
2024-03-29,Rabat,Farines,Farine de blé T55 25kg,7,172.0,1204.0
2024-03-29,Casablanca,Riz & Pâtes,Couscous moyen 25kg,64,242.25,15504.0
2024-03-29,Casablanca,Huiles,Huile de tournesol 5L,8,92.0,736.0
2024-03-29,Casablanca,Condiments,Olives vertes 5kg,60,104.5,6270.0
2024-03-29,Casablanca,Laitiers,Lait en poudre 2.5kg,78,159.6,12448.8
2024-03-29,Rabat,Conserves,Sardines à l'huile x50,8,268.0,2144.0
2024-03-29,Marrakech,Huiles,Huile de tournesol 5L,8,92.0,736.0
2024-03-29,Rabat,Épicerie sucrée,Dattes Deglet Nour 5kg,50,232.75,11637.5
2024-03-29,Rabat,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-03-29,Casablanca,Condiments,Épices ras el hanout 500g x10,17,148.0,2516.0
2024-03-29,Casablanca,Biscuiterie,Gaufrettes chocolat x48,84,127.3,10693.2
2024-03-29,Rabat,Laitiers,Fromage fondu x48,4,158.0,632.0
2024-03-29,Casablanca,Biscuiterie,Chocolat tablette 100g x50,8,220.0,1760.0
2024-03-29,Casablanca,Biscuiterie,Biscuits fourrés x36,11,115.0,1265.0
2024-03-29,Marrakech,Sucres,Sucre granulé 50kg,7,355.0,2485.0
2024-03-29,Marrakech,Épicerie sucrée,Miel pur 1kg x6,15,330.0,4950.0
2024-03-29,Marrakech,Thés & Cafés,Thé vert gunpowder 1kg,2,88.0,176.0
2024-03-29,Rabat,Conserves,Tomate concentrée 4.5kg x6,29,228.0,6612.0
2024-03-29,Casablanca,Laitiers,Lait en poudre 2.5kg,10,168.0,1680.0
2024-03-29,Marrakech,Épicerie sucrée,Dattes Deglet Nour 5kg,15,245.0,3675.0
2024-03-30,Rabat,Riz & Pâtes,Pâtes spaghetti 500g x20,2,90.0,180.0
2024-03-30,Marrakech,Condiments,Sel de table 1kg x24,5,46.0,230.0
2024-03-30,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,7,88.0,616.0
2024-03-30,Casablanca,Épicerie sucrée,Confiture abricot 850g x12,9,160.0,1440.0
2024-03-30,Marrakech,Conserves,Thon entier à l'huile x24,10,432.0,4320.0
2024-03-30,Marrakech,Épicerie sucrée,Miel pur 1kg x6,5,330.0,1650.0
2024-03-30,Rabat,Conserves,Sardines à l'huile x50,24,254.6,6110.4
2024-03-30,Marrakech,Riz & Pâtes,Riz long grain 25kg,2,285.0,570.0
2024-03-30,Marrakech,Légumineuses,Lentilles vertes 1kg x12,6,126.0,756.0
2024-03-30,Marrakech,Laitiers,Lait en poudre 2.5kg,16,168.0,2688.0
2024-03-30,Marrakech,Condiments,Olives vertes 5kg,11,110.0,1210.0
2024-03-30,Rabat,Condiments,Sel de table 1kg x24,4,46.0,184.0
2024-03-30,Rabat,Thés & Cafés,Thé vert gunpowder 1kg,6,88.0,528.0
2024-03-30,Marrakech,Sucres,Sucre granulé 50kg,3,355.0,1065.0
2024-03-30,Rabat,Sucres,Sucre en morceaux 5kg,2,47.0,94.0
2024-03-31,Casablanca,Conserves,Sardines à l'huile x50,3,268.0,804.0
2024-03-31,Marrakech,Conserves,Tomate concentrée 4.5kg x6,7,240.0,1680.0
2024-03-31,Rabat,Laitiers,Fromage fondu x48,25,158.0,3950.0
2024-03-31,Marrakech,Boissons,Soda cola 1L x12,5,99.0,495.0
2024-03-31,Casablanca,Biscuiterie,Chocolat tablette 100g x50,2,220.0,440.0
2024-04-01,Casablanca,Sucres,Sucre granulé 50kg,1,355.0,355.0
2024-04-01,Marrakech,Laitiers,Fromage fondu x48,8,158.0,1264.0
2024-04-01,Casablanca,Épicerie sucrée,Dattes Deglet Nour 5kg,8,245.0,1960.0
2024-04-01,Rabat,Riz & Pâtes,Riz long grain 25kg,5,285.0,1425.0
2024-04-01,Marrakech,Condiments,Épices ras el hanout 500g x10,7,148.0,1036.0
2024-04-01,Casablanca,Boissons,Jus d'orange 1L x12,3,105.0,315.0
2024-04-01,Rabat,Farines,Farine de blé T45 10kg,7,75.0,525.0
2024-04-01,Casablanca,Laitiers,Beurre 200g x40,4,296.0,1184.0
2024-04-01,Marrakech,Riz & Pâtes,Couscous moyen 25kg,22,242.25,5329.5
2024-04-01,Casablanca,Légumineuses,Lentilles vertes 1kg x12,2,126.0,252.0
2024-04-01,Casablanca,Thés & Cafés,Café moulu 1kg,3,125.0,375.0
2024-04-01,Marrakech,Riz & Pâtes,Riz long grain 25kg,11,285.0,3135.0
2024-04-01,Casablanca,Thés & Cafés,Thé vert gunpowder 1kg,6,88.0,528.0
